presence,Temp,Distance_food,W_Depth,Sub
0,21.3522758,0.2422167,-17.5059967,0
0,18.5886707,0.4563002,-14.9862976,0
0,18.9545898,0.7058492,-19.5072021,0
0,21.4762554,0.2375879,-26.4761047,0
0,22.6457176,0.2340563,-22.3843994,0
0,,0.5739637,-4.0986018,0
0,20.8817825,0.4570095,-22.503006,0
0,21.3912563,0.2796326,-54.8759995,0
0,18.515934,0.8018429,-12.4976044,0
0,21.1898785,0.213591,-21.5066071,0
0,20.4129333,0.1377325,-15.7099915,0
0,20.3988857,0.3560571,-52.7764053,0
0,22.9660549,0.1254249,-20.6985016,0
0,20.8525295,0.2963415,-16.9064941,0
0,22.4885578,0.2366122,-20.4761963,1
0,21.726469,0.3102245,-20.4886932,0
0,,0.5506779,-4.7969971,0
0,20.1631966,0.4355483,-23.5077972,0
0,19.5187492,0.6756394,-20.5034027,0
0,17.9192524,0.3924064,-37.3753967,0
0,23.4277401,0.1455718,-18.9082947,0
0,20.884306,0.3578718,-20.7937012,0
0,25.1694832,0.1036068,-7.9042969,0
0,20.5570641,0.2616829,-13.3761902,1
0,24.6970654,0.2076598,-8.5106964,0
0,25.5350361,0.0700321,-4.5097051,0
0,25.2710552,0.1022583,-10.5077057,0
0,20.6155853,0.4924849,-21.298996,0
0,19.9120941,0.3986067,-20.408493,0
0,17.467741,0.3594199,-23.4797974,0
0,19.4868565,0.6966781,-20.5052032,0
0,21.040102,0.3954602,-22.5023041,0
0,22.2873726,0.0096197,-1.308197,1
0,19.610487,0.3966285,-20.7104034,0
0,20.5540333,0.4307414,-20.4938049,0
0,18.5677547,0.750333,-12.7951965,0
0,20.3712692,0.5509299,-20.4992065,0
0,21.8644161,0.2375879,-21.4996033,0
0,19.2597427,0.4068784,-22.7769012,0
0,19.4506664,0.3388795,-16.5800018,1
0,23.2542648,0.168,-22.4824066,0
0,20.3775692,0.5177662,-20.2954102,0
0,19.1728268,0.4868153,-19.5119019,0
0,16.8871727,0.3751665,-46.6757965,0
0,22.7335243,0.2022416,-17.3063049,0
0,22.4894772,0.1815033,-12.6054077,0
0,22.465477,0.1850377,-22.3759918,0
0,19.6833096,0.6419272,-19.4958038,0
0,25.5271378,0.0490508,-5.6031041,0
0,20.9739838,0.4199725,-19.4866028,0
