presence,Temp,Distance_food,W_Depth,Sub
1,25.471447,0.0192393,-8.3995972,0
1,25.6040955,0.0272085,-7.8981929,0
1,25.4995708,0.0096197,-5.6985931,2
1,25.4675159,0.0192393,-4.4992981,2
1,25.471447,0.0192393,-8.3995972,0
1,25.4675159,0,-4.9992981,2
1,25.4875374,0.0192393,-8.7003021,0
1,25.5003548,0.0215102,-6.500793,1
1,25.4675159,0,-4.9992981,2
1,25.5041237,0.0384786,-7.4991002,0
1,25.4476967,0.0346842,-8.5003967,0
1,25.4768181,0.0215102,-9.3000031,0
1,25.4768181,0.0215102,-9.3000031,0
1,25.5003548,0.0192393,-7.0008998,0
1,25.4800014,0.0192393,-2.501801,2
1,25.4800014,0.0192393,-2.501801,2
1,25.5003548,0.0192393,-7.0008998,0
1,25.1510849,0,-5.5997009,2
1,,0,-1.193298,0
1,,0,0.507294,1
1,25.6503468,0,-1.595505,0
1,26.1906395,0.06084,-3.9980011,2
1,26.1532593,0,-5.5,0
1,25.1566753,0,-9.207901,2
1,24.2700844,0,-5.803802,0
1,24.3151588,0.0732611,-5.0825038,2
1,24.3433876,0.5235425,-0.874893,2
1,24.0699215,0.5166927,-4.4748988,2
1,23.5355873,0.0192393,0.224899,2
1,23.5355873,0.0192393,0.224899,2
1,23.4225082,0,-3.975296,2
1,23.8013592,0.2038368,0.524094,1
1,23.9023895,0.3121574,-0.076706,2
1,19.6997738,0.7056525,-5.7113948,0
1,17.1562424,0,-10.479599,0
1,23.6020317,0.2100964,-1.182297,1
1,22.2410526,0.1837832,0.417892,1
1,23.6850872,0.2220869,-0.482605,1
1,22.1778183,0.1768552,0.418289,1
1,19.9982357,0.1290612,-2.3809969,1
1,24.1555634,0.2590171,0.516907,1
1,23.9869366,0.2404913,0.417191,1
1,22.1778183,0.1768552,0.418289,1
1,22.2410526,0.1837832,0.417892,1
1,22.2410526,0.1646619,0.418091,1
1,17.1570778,0.0680212,-4.578506,2
1,18.4638805,0.4242474,-5.4768982,0
1,22.2287827,0.5510139,0.525604,2
1,18.9243736,0.3756595,-6.3764949,2
1,21.2077274,0.4350168,-0.875793,2
